și  s1 i
francezilor  f r a n ts1 z i l o r
susținute  s u s ts i n u t e
optimistă  o p t i m i s t a1
suportă  s u p o r t a1
atenției  a t e n ts i e i
exportăm  e k s p o r t a1 m
atrag  a t r a g
atenția  a t e n ts i a
milogilor  m i l o dz1 l o r
trimiși  t r i m i s1 i
liceului  l i ts1 u l u i
codul  k o d u l
infracțiunii  i n f r a k ts i u n i i
neglijență  n e g l i z1 e n ts a1
prostituăm  p r o s t i t u a1 m
beneficieze  b e n e f i ts1 e z e
serviciile  s e r v i ts1 i l e
multor  m u l t o r
salariul  s a l a r i u l
de-ale  d e a l e
gurii  g u r i i
rulează  r u l e a z a1
ucenicia  u ts1 n i ts1 a
propriile  p r o p r i i l e
picioare  p i ts1 o a r e
confirmată  k o n f i r m a t a1
brodează  b r o d e a z a1
lucrau  l u k r a u
muncitori  m u n ts1 t o r i
lopeți  l o p e ts i
talentul  t a l e n t u l
răspundă  r a1 s p u n d a1
neobișnuite  n e o b i s1 n u i t e
urc  u r k
ierarhică  i e r a r h i k a1
comparație  k o m p a r a ts i e
precedentele  p r e ts1 d e n t e l e
deplasări  d e p l a s a1 r i
dintr-un  d i n t r u n
stadionului  s t a d i o n u l u i
ungurii  u n g u r i i
holul  h o l u l
visează  v i s e a z a1
cupei  k u p e i
filmului  f i l m u l u i
discuții  d i s k u ts i i
me-urile  m e u r i l e
rușine  r u s1 i n e
demnității  d e m n i t a1 ts i i
naționale  n a ts i o n a l e
șoferi  s1 o f e r i
autocarului  a u t o k a r u l u i
flăcări  f l a1 k a1 r i
dormea  d o r m e a
piteștenii  p i t e s1 t e n i i
impuseseră  i m p u s e s e r a1
fetiță  f e t i ts a1
prăbușească  p r a1 b u s1 e a s k a1
ținut  ts i n u t
mulțime  m u l ts i m e
turiști  t u r i s1 t i
infracțiunilor  i n f r a k ts i u n i l o r
înșelăciune  a2 n s1 e l a1 ts1 u n e
înscrisuri  a2 n s k r i s u r i
plasamente  p l a s a m e n t e
indicii  i n d i ts1 i
bursieri  b u r s i e r i
intervalul  i n t e r v a l u l
insuficientă  i n s u f i ts1 e n t a1
frumoase  f r u m o a s e
cantonamentul  k a n t o n a m e n t u l
virusul  v i r u s u l
vindeam  v i n d e a m
ziare  z i a r e
fete  f e t e
individuală  i n d i v i d u a l a1
burse  b u r s e
conducea  k o n d u ts1 a
rezolvării  r e z o l v a1 r i i
angajați  a n g a z1 a ts i
implicați  i m p l i k a ts i
audiați  a u d i a ts i
suspiciuni  s u s p i ts1 u n i
anunțe  a n u n ts e
internațional  i n t e r n a ts i o n a l
prioritatea  p r i o r i t a t e a
găsește  g a1 s e s1 t e
recunoaștere  r e k u n o a s1 t e r e
recurg  r e k u r g
felul  f e l u l
voluntari  v o l u n t a r i
militanți  m i l i t a n ts i
glumește  g l u m e s1 t e
hotărâți  h o t a1 r a2 ts i
agresivi  a g r e s i v i
cuvântului  k u v a2 n t u l u i
mușcăm  m u s1 k a1 m
analizată  a n a l i z a t a1
motivul  m o t i v u l
tem  t e m
rromilor  r r o m i l o r
amenință  a m e n i n ts a1
oasele  o a s e l e
rupte  r u p t e
terorii  t e r o r i i
staliniste  s t a l i n i s t e
eliminarea  e l i m i n a r e a
turnurilor  t u r n u r i l o r
exterioară  e k s t e r i o a r a1
turiștii  t u r i s1 t i i
cupola  k u p o l a
camere  k a m e r e
paturi  p a t u r i
însoțită  a2 n s o ts i t a1
râsete  r a2 s e t e
frecvente  f r e k v e n t e
ropote  r o p o t e
pasagera  p a s a dz1 r a
dreapta  d r e a p t a
ve-ului  v e u l u i
lase  l a s e
descurcau  d e s k u r k a u
educației  e d u k a ts i e i
profesori  p r o f e s o r i
societăți  s o ts1 e t a1 ts i
cipriote  ts1 p r i o t e
bănci  b a1 n ts1
soldați  s o l d a ts i
vătămați  v a1 t a1 m a ts i
cumpăram  k u m p a1 r a m
reviste  r e v i s t e
handbalistele  h a n d b a l i s t e l e
premiate  p r e m i a t e
bezele  b e z e l e
jeturi  z1 e t u r i
abundență  a b u n d e n ts a1
respectul  r e s p e k t u l
numeroase  n u m e r o a s e
semnale  s e m n a l e
audă  a u d a1
explic  e k s p l i k
asigurărilor  a s i g u r a1 r i l o r
municipiul  m u n i ts1 p i u l
crizei  k r i z e i
săptămânii  s a1 p t a1 m a2 n i i
trecute  t r e k u t e
studiez  s t u d i e z
școala  s1 k o a l a
albaneză  a l b a n e z a1
bicicleta  b i ts1 k l e t a
comerțul  k o m e r ts u l
întregește  a2 n t r e dz1 s1 t e
imaginea  i m a dz1 n e a
marile  m a r i l e
orașe  o r a s1 e
acordă  a k o r d a1
elevilor  e l e v i l o r
gălețile  g a1 l e ts i l e
recupereze  r e k u p e r e z e
localnicii  l o k a l n i ts1 i
jumătatea  z1 u m a1 t a t e a
secției  s e k ts i e i
atragerea  a t r a dz1 r e a
europeni  e u r o p e n i
necesari  n e ts1 s a r i
renovării  r e n o v a1 r i i
agenda  a dz1 n d a
îndrăgitei  a2 n d r a1 dz1 t e i
cântărețe  k a2 n t a1 r e ts e
tehnica  t e h n i k a
procesului  p r o ts1 s u l u i
sfârșit  s f a2 r s1 i t
repriza  r e p r i z a
timișorenii  t i m i s1 o r e n i i
dezlănțuit  d e z l a1 n ts u i t
competiție  k o m p e t i ts i e
cuprinsă  k u p r i n s a1
având  a v a2 n d
lumânări  l u m a2 n a1 r i
aprinse  a p r i n s e
teribilă  t e r i b i l a1
întărește  a2 n t a1 r e s1 t e
planul  p l a n u l
aprobării  a p r o b a1 r i i
consiliului  k o n s i l i u l u i
disfuncționalități  d i s f u n k ts i o n a l i t a1 ts i
virtuală  v i r t u a l a1
trag  t r a g
transportați  t r a n s p o r t a ts i
obține  o b ts i n e
stratul  s t r a t u l
frunzelor  f r u n z e l o r
concediați  k o n ts1 d i a ts i
similară  s i m i l a r a1
le-a  l e a
magistrați  m a dz1 s t r a ts i
rânduri  r a2 n d u r i
uși  u s1 i
afișe  a f i s1 e
metodologia  m e t o d o l o dz1 a
cazărilor  k a z a1 r i l o r
neclarități  n e k l a r i t a1 ts i
viziteze  v i z i t e z e
parade  p a r a d e
senzaționale  s e n z a ts i o n a l e
funcționare  f u n k ts i o n a r e
publice  p u b l i ts1
județene  z1 u d e ts e n e
absorbția  a b s o r b ts i a
premii  p r e m i i
accepta-o  a k ts1 p t a o
tragem  t r a dz1 m
supraviețuiești  s u p r a v i e ts u i e s1 t i
credința  k r e d i n ts a
valori  v a l o r i
pățit  p a1 ts i t
citească  ts1 t e a s k a1
însușindu-și  a2 n s u s1 i n d u s1 i
cunoștințe  k u n o s1 t i n ts e
elementare  e l e m e n t a r e
ofere  o f e r e
concurență  k o n k u r e n ts a1
pregătește  p r e g a1 t e s1 t e
festivalurile  f e s t i v a l u r i l e
acțiune  a k ts i u n e
câinilor  k a2 i n i l o r
reducă  r e d u k a1
ascund  a s k u n d
acțiuni  a k ts i u n i
terasamentului  t e r a s a m e n t u l u i
impusă  i m p u s a1
inundațiilor  i n u n d a ts i i l o r
libertatea  l i b e r t a t e a
luptat  l u p t a t
ce-mi  ts1 m i
împărtășit  a2 m p a1 r t a1 s1 i t
informațiile  i n f o r m a ts i i l e
primite  p r i m i t e
eficienței  e f i ts1 e n ts e i
energetice  e n e r dz1 t i ts1
atracția  a t r a k ts i a
amatorii  a m a t o r i i
jafuri  z1 a f u r i
piețelor  p i e ts e l o r
agroalimentare  a g r o a l i m e n t a r e
vorbesc  v o r b e s k
susține  s u s ts i n e
preluării  p r e l u a1 r i i
suveranul  s u v e r a n u l
alunge  a l u n dz1
create  k r e a t e
firește  f i r e s1 t e
reducem  r e d u ts1 m
comisarilor  k o m i s a r i l o r
dorul  d o r u l
spaima  s p a i m a
oltenilor  o l t e n i l o r
internațională  i n t e r n a ts i o n a l a1
protecția  p r o t e k ts i a
îmbin  a2 m b i n
utilul  u t i l u l
plăcutul  p l a1 k u t u l
inspiră  i n s p i r a1
administrație  a d m i n i s t r a ts i e
ajutăm  a z1 u t a1 m
bag  b a g
produsele  p r o d u s e l e
pictez  p i k t e z
neconfirmării  n e k o n f i r m a1 r i i
neocupate  n e o k u p a t e
redistribuite  r e d i s t r i b u i t e
dușmănesc  d u s1 m a1 n e s k
directă  d i r e k t a1
poți  p o ts i
trăiești  t r a1 i e s1 t i
felului  f e l u l u i
deprinderi  d e p r i n d e r i
convingerea  k o n v i n dz1 r e a
cântecul  k a2 n t e k u l
definește  d e f i n e s1 t e
ieșenilor  i e s1 e n i l o r
amenajările  a m e n a z1 a1 r i l e
normele  n o r m e l e
depunerea  d e p u n e r e a
galeria  g a l e r i a
fiul  f i u l
imigranți  i m i g r a n ts i
germani  dz1 r m a n i
veniți  v e n i ts i
cursul  k u r s u l
găsit-o  g a1 s i t o
folosește  f o l o s e s1 t e
metoda  m e t o d a
ecologică  e k o l o dz1 k a1
curăța  k u r a1 ts a
portughezi  p o r t u g h e z i
întrecerea  a2 n t r e ts1 r e a
internă  i n t e r n a1
semiblocajului  s e m i b l o k a z1 u l u i
actuala  a k t u a l a
politicii  p o l i t i ts1 i
micul  m i k u l
unora  u n o r a
imposibilitatea  i m p o s i b i l i t a t e a
băutura  b a1 u t u r a
rafinată  r a f i n a t a1
campioanei  k a m p i o a n e i
liniștit  l i n i s1 t i t
confecționeze  k o n f e k ts i o n e z e
instrumente  i n s t r u m e n t e
muzicale  m u z i k a l e
demonstrăm  d e m o n s t r a1 m
liniștiți  l i n i s1 t i ts i
sporturile  s p o r t u r i l e
tăcerile  t a1 ts1 r i l e
ideile  i d e i l e
valabile  v a l a b i l e
abonamentele  a b o n a m e n t e l e
gestionarea  dz1 s t i o n a r e a
deșeurilor  d e s1 e u r i l o r
prevederilor  p r e v e d e r i l o r
autorizația  a u t o r i z a ts i a
integrată  i n t e g r a t a1
obligați  o b l i g a ts i
rămânem  r a1 m a2 n e m
prosteala  p r o s t e a l a
postdecembristă  p o s t d e ts1 m b r i s t a1
remaniez  r e m a n i e z
ministrul  m i n i s t r u l
idealul  i d e a l u l
teza  t e z a
favorită  f a v o r i t a1
adevărate  a d e v a1 r a t e
prioritățile  p r i o r i t a1 ts i l e
conjuncturi  k o n z1 u n k t u r i
mutilată  m u t i l a t a1
cauze  k a u z e
utili  u t i l i
adevărată  a d e v a1 r a t a1
fabricarea  f a b r i k a r e a
băuturi  b a1 u t u r i
federației  f e d e r a ts i e i
scandalurile  s k a n d a l u r i l e
doare  d o a r e
penalizați  p e n a l i z a ts i
intervenție  i n t e r v e n ts i e
încheie  a2 n k h e i e
comentariul  k o m e n t a r i u l
grămezi  g r a1 m e z i
delegări  d e l e g a1 r i
amândouă  a m a2 n d o u a1
imobilizeze  i m o b i l i z e z e
skaterii  s k a t e r i i
retrag  r e t r a g
autotrenul  a u t o t r e n u l
cantitatea  k a n t i t a t e a
țigări  ts i g a1 r i
predate  p r e d a t e
inspectorilori  i n s p e k t o r i l o r i
vamali  v a m a l i
atenți  a t e n ts i
filmează  f i l m e a z a1
ascunsă  a s k u n s a1
neregulile  n e r e g u l i l e
prezentăm  p r e z e n t a1 m
atacurile  a t a k u r i l e
șutat  s1 u t a t
liberă  l i b e r a1
giuleșteană  dz1 u l e s1 t e a n a1
domeniul  d o m e n i u l
vânzării  v a2 n z a1 r i i
castanelor  k a s t a n e l o r
acei  a ts1 i
călătoresc  k a1 l a1 t o r e s k
dansează  d a n s e a z a1
vama  v a m a
dețin  d e ts i n
dascăli  d a s k a1 l i
românești  r o m a2 n e s1 t i
reproșuri  r e p r o s1 u r i
arbitrajelor  a r b i t r a z1 e l o r
ratificarea  r a t i f i k a r e a
tratatului  t r a t a t u l u i
greșit  g r e s1 i t
neseriozitatea  n e s e r i o z i t a t e a
viceprimarul  v i ts1 p r i m a r u l
puțină  p u ts i n a1
renovez  r e n o v e z
tehnologia  t e h n o l o dz1 a
lotul  l o t u l
tricouri  t r i k o u r i
epoca  e p o k a
luați  l u a ts i
duși  d u s1 i
audieri  a u d i e r i
externă  e k s t e r n a1
interesul  i n t e r e s u l
show-uri  s h o u u r i
gradul  g r a d u l
bâte  b a2 t e
incredibilă  i n k r e d i b i l a1
parlamentari  p a r l a m e n t a r i
jocului  z1 o k u l u i
delegația  d e l e g a ts i a
dai  d a i
adevărata  a d e v a1 r a t a
neprețuită  n e p r e ts u i t a1
familiei  f a m i l i e i
muncitorul  m u n ts1 t o r u l
rezervați  r e z e r v a ts i
propuneri  p r o p u n e r i
tramvaie  t r a m v a i e
autobuze  a u t o b u z e
părinți  p a1 r i n ts i
nebună  n e b u n a1
aleg  a l e g
dreptatea  d r e p t a t e a
seriozitatea  s e r i o z i t a t e a
plângerilor  p l a2 n dz1 r i l o r
ciudate  ts1 u d a t e
zeci  z e ts1
patroni  p a t r o n i
închid  a2 n k h i d
soluții  s o l u ts i i
grele  g r e l e
avorturi  a v o r t u r i
naștere  n a s1 t e r e
italienii  i t a l i e n i i
acțiunile  a k ts i u n i l e
informații  i n f o r m a ts i i
divizia  d i v i z i a
investiții  i n v e s t i ts i i
private  p r i v a t e
mondiale  m o n d i a l e
cărțile  k a1 r ts i l e
sprijină  s p r i z1 i n a1
agăța  a g a1 ts a
difuzeze  d i f u z e z e
emisiunea  e m i s i u n e a
inși  i n s1 i
plăteam  p l a1 t e a m
tradițional  t r a d i ts i o n a l
produsul  p r o d u s u l
frica  f r i k a
distrugerea  d i s t r u dz1 r e a
persoanei  p e r s o a n e i
evidente  e v i d e n t e
dialoguri  d i a l o g u r i
sfaturile  s f a t u r i l e
cailor  k a i l o r
lipițani  l i p i ts a n i
filmezi  f i l m e z i
tehnicianul  t e h n i ts1 a n u l
marți  m a r ts i
primari  p r i m a r i
viceprimari  v i ts1 p r i m a r i
beteșuguri  b e t e s1 u g u r i
creeze  k r e e z e
știam  s1 t i a m
atârn  a t a2 r n
amuză  a m u z a1
iubea  i u b e a
snobismul  s n o b i s m u l
bunului  b u n u l u i
performantă  p e r f o r m a n t a1
scumpă  s k u m p a1
permitem  p e r m i t e m
impertinența  i m p e r t i n e n ts a
povara  p o v a r a
misiei  m i s i e i
înființat  a2 n f i i n ts a t
pensionarilor  p e n s i o n a r i l o r
mâncăm  m a2 n k a1 m
impresionată  i m p r e s i o n a t a1
direcției  d i r e k ts i e i
arhitectul  a r h i t e k t u l
adoptați  a d o p t a ts i
olandezi  o l a n d e z i
rămân  r a1 m a2 n
riscantă  r i s k a n t a1
rugăm  r u g a1 m
numele  n u m e l e
întindeau  a2 n t i n d e a u
porțiune  p o r ts i u n e
marchează  m a r k h e a z a1
tinerețe  t i n e r e ts e
județe  z1 u d e ts e
profitului  p r o f i t u l u i
adoptată  a d o p t a t a1
oferte  o f e r t e
înghesuiau  a2 n g h e s u i a u
participe  p a r t i ts1 p e
telecomunicații  t e l e k o m u n i k a ts i i
rezistență  r e z i s t e n ts a1
cooperat  k o o p e r a t
procurorilor  p r o k u r o r i l o r
preferatele  p r e f e r a t e l e
principala  p r i n ts1 p a l a
pregătirile  p r e g a1 t i r i l e
roadele  r o a d e l e
muncii  m u n ts1 i
probele  p r o b e l e
scrise  s k r i s e
înscrierile  a2 n s k r i e r i l e
filiala  f i l i a l a
fostului  f o s t u l u i
primăria  p r i m a1 r i a
mutarea  m u t a r e a
micuților  m i k u ts i l o r
pasagerilor  p a s a dz1 r i l o r
ideală  i d e a l a1
impresia  i m p r e s i a
treacă  t r e a k a1
jucând  z1 u k a2 n d
acumulând  a k u m u l a2 n d
ciclul  ts1 k l u l
conținutul  k o n ts i n u t u l
antrenamentelor  a n t r e n a m e n t e l o r
solicitată  s o l i ts1 t a t a1
urmărirea  u r m a1 r i r e a
pensionarului  p e n s i o n a r u l u i
sistemul  s i s t e m u l
detectivilor  d e t e k t i v i l o r
renumerația  r e n u m e r a ts i a
confundă  k o n f u n d a1
emisiunile  e m i s i u n i l e
propaganda  p r o p a g a n d a
încercăm  a2 n ts1 r k a1 m
redescoperim  r e d e s k o p e r i m
dependentă  d e p e n d e n t a1
trageți  t r a dz1 ts i
singuri  s i n g u r i
surselor  s u r s e l o r
citate  ts1 t a t e
ipoteze  i p o t e z e
angajez  a n g a z1 e z
penaltyuri  p e n a l t i u r i
mărite  m a1 r i t e
dorea  d o r e a
mâncărurile  m a2 n k a1 r u r i l e
rafinate  r a f i n a t e
campionatului  k a m p i o n a t u l u i
ce-a  ts1 a
ieșit  i e s1 i t
găzduiește  g a1 z d u i e s1 t e
europarlamentarii  e u r o p a r l a m e n t a r i i
socialiști  s o ts1 a l i s1 t i
cerința  ts1 r i n ts a
liderilor  l i d e r i l o r
americane  a m e r i k a n e
calculatorul  k a l k u l a t o r u l
jocurile  z1 o k u r i l e
munca  m u n k a
câinii  k a2 i n i i
serioasă  s e r i o a s a1
micuța  m i k u ts a
dependența  d e p e n d e n ts a
foști  f o s1 t i
rutele  r u t e l e
la  l a
actuală  a k t u a l a1
național  n a ts i o n a l
car-audio  k a r a u d i o
beșteleală  b e s1 t e l e a l a1
țineau  ts i n e a u
brațe  b r a ts e
bărcuțe  b a1 r k u ts e
fântâna  f a2 n t a2 n a
speranței  s p e r a n ts e i
rezultatul  r e z u l t a t u l
armâni  a r m a2 n i
demarată  d e m a r a t a1
racordarea  r a k o r d a r e a
gaze  g a z e
căpetenii  k a1 p e t e n i i
zilnice  z i l n i ts1
monitorizați  m o n i t o r i z a ts i
vecina  v e ts1 n a
târât-o  t a2 r a2 t o
altui  a l t u i
căruțași  k a1 r u ts a s1 i
numeroși  n u m e r o s1 i
comentatori  k o m e n t a t o r i
coaliției  k o a l i ts i e i
cerșetori  ts1 r s1 e t o r i
notabile  n o t a b i l e
cerșetoriei  ts1 r s1 e t o r i e i
depășește  d e p a1 s1 e s1 t e
analizează  a n a l i z e a z a1
opțiune  o p ts i u n e
birourile  b i r o u r i l e
scaune  s k a u n e
fetiței  f e t i ts e i
declarată  d e k l a r a t a1
moartă  m o a r t a1
micuței  m i k u ts e i
proporție  p r o p o r ts i e
economică  e k o n o m i k a1
negativă  n e g a t i v a1
cheltuielilor  k h e l t u i e l i l o r
reglementarea  r e g l e m e n t a r e a
limbii  l i m b i i
ciudată  ts1 u d a t a1
afaceri  a f a ts1 r i
construcția  k o n s t r u k ts i a
hoteluri  h o t e l u r i
cazinouri  k a z i n o u r i
preț  p r e ts
capul  k a p u l
memoria  m e m o r i a
marian  m a r i a n
cozma  k o z m a
observe  o b s e r v e
prejudecăți  p r e z1 u d e k a1 ts i
internetului  i n t e r n e t u l u i
meseriașii  m e s e r i a s1 i i
copilăriseră  k o p i l a1 r i s e r a1
întreagă  a2 n t r e a g a1
asculte  a s k u l t e
fredoneze  f r e d o n e z e
melodia  m e l o d i a
compusă  k o m p u s a1
produsă  p r o d u s a1
autorizație  a u t o r i z a ts i e
curentă  k u r e n t a1
grupurile  g r u p u r i l e
sanitare  s a n i t a r e
neconforme  n e k o n f o r m e
târnoveanca  t a2 r n o v e a n k a
basarabeni  b a s a r a b e n i
artistică  a r t i s t i k a1
gorjenilor  g o r z1 e n i l o r
meselor  m e s e l o r
acționa  a k ts i o n a
reușita  r e u s1 i t a
secțiile  s e k ts i i l e
născuți  n a1 s k u ts i
lipsei  l i p s e i
lenjeriei  l e n z1 e r i e i
curate  k u r a t e
dubleze  d u b l e z e
vocile  v o ts1 l e
actorilor  a k t o r i l o r
apelului  a p e l u l u i
încarcerată  a2 n k a r ts1 r a t a1
codului  k o d u l u i
dezolantă  d e z o l a n t a1
măreții  m a1 r e ts i i
pierdute  p i e r d u t e
neconcludente  n e k o n k l u d e n t e
pilotul  p i l o t u l
scăzută  s k a1 z u t a1
expoziție  e k s p o z i ts i e
modernă  m o d e r n a1
prototipul  p r o t o t i p u l
lucrări  l u k r a1 r i
maestrului  m a e s t r u l u i
pib  p i b
celor  ts1 l o r
naționalitate  n a ts i o n a l i t a t e
premiată  p r e m i a t a1
culegeri  k u l e dz1 r i
tinerilor  t i n e r i l o r
poeți  p o e ts i
sportivii  s p o r t i v i i
slătineni  s l a1 t i n e n i
tatamii  t a t a m i i
antrenamente  a n t r e n a m e n t e
vistieria  v i s t i e r i a
goală  g o a l a1
tranșă  t r a n s1 a1
împrumutului  a2 m p r u m u t u l u i
cealaltă  ts1 a l a l t a1
fațadei  f a ts a d e i
capitoliului  k a p i t o l i u l u i
șomeri  s1 o m e r i
terenului  t e r e n u l u i
demararea  d e m a r a r e a
investiției  i n v e s t i ts i e i
privind  p r i v i n d
modernizarea  m o d e r n i z a r e a
întregii  a2 n t r e dz1 i
zone  z o n e
preparată  p r e p a r a t a1
oferită  o f e r i t a1
participanților  p a r t i ts1 p a n ts i l o r
campaniei  k a m p a n i e i
infracționalitatea  i n f r a k ts i o n a l i t a t e a
tipurile  t i p u r i l e
numărului  n u m a1 r u l u i
concedii  k o n ts1 d i i
dezvoltă  d e z v o l t a1
anumită  a n u m i t a1
minuțiozitate  m i n u ts i o z i t a t e
durata  d u r a t a
supravegherea  s u p r a v e g h e r e a
personalului  p e r s o n a l u l u i
otrăvită  o t r a1 v i t a1
veți  v e ts i
uneia  u n e i a
propunerea  p r o p u n e r e a
moldovenilor  m o l d o v e n i l o r
financiare  f i n a n ts1 a r e
mierea  m i e r e a
asistențe  a s i s t e n ts e
luasem  l u a s e m
cuantificabilă  k u a n t i f i k a b i l a1
franchețe  f r a n k h e ts e
salvamontistul  s a l v a m o n t i s t u l
băimăreanul  b a1 i m a1 r e a n u l
amploarea  a m p l o a r e a
tâmpei  t a2 m p e i
căzăturile  k a1 z a1 t u r i l e
departajarea  d e p a r t a z1 a r e a
tirinescu  t i r i n e s k u
șiria  s1 i r i a
capitala  k a p i t a l a
vechile  v e k h i l e
ministerului  m i n i s t e r u l u i
sănătății  s a1 n a1 t a1 ts i i
comitetul  k o m i t e t u l
locația  l o k a ts i a
crișan  k r i s1 a n
eșecul  e s1 e k u l
george  dz1 o r dz1
parfumul  p a r f u m u l
carlton  k a r l t o n
brug  b r u g
băimărenii  b a1 i m a1 r e n i i
familie	f a m i l i e
palatului  p a l a t u l u i
parlamentului  p a r l a m e n t u l u i
artiștii  a r t i s1 t i i
magda  m a g d a
georgescu  dz1 o r dz1 s k u
explicația  e k s p l i k a ts i a
noile  n o i l e
oancea  o a n ts1 a
pandurii  p a n d u r i i
honda  h o n d a
safta  s a f t a
consecințele  k o n s e ts1 n ts e l e
michel  m i k h e l
fiat  f i a t
punto  p u n t o
folk-ul  f o l k u l
târgul  t a2 r g u l
brațul  b r a ts u l
teritoriile  t e r i t o r i i l e
kurile  k u r i l e
portugalia  p o r t u g a l i a
redacția  r e d a k ts i a
petrina  p e t r i n a
răzvan  r a1 z v a n
cociș  k o ts1 s1
erorile  e r o r i l e
transportului  t r a n s p o r t u l u i
simțeam  s i m ts e a m
braile  b r a i l e
ștefan  s1 t e f a n
tarife  t a r i f e
arieșeni  a r i e s1 e n i
bușteni  b u s1 t e n i
liga  l i g a
campionilor  k a m p i o n i l o r
slatina  s l a t i n a
bazac  b a z a k
valentin  v a l e n t i n
micii  m i ts1 i
nimănui  n i m a1 n u i
irlandă  i r l a n d a1
spiridon  s p i r i d o n
aurelia  a u r e l i a
goci  g o ts1
voinescu  v o i n e s k u
mortu  m o r t u
domus  d o m u s
rădulescu  r a1 d u l e s k u
bucuria  b u k u r i a
turcu  t u r k u
uniunea  u n i u n e a
ideea  i d e e a
rahova  r a h o v a
satriani  s a t r i a n i
testarea  t e s t a r e a
sadova  s a d o v a
cultura  k u l t u r a
sătmăreanul  s a1 t m a1 r e a n u l
mureșan  m u r e s1 a n
darwin  d a r u i n
șușară  s1 u s1 a r a1
horia  h o r i a
patapievici  p a t a p i e v i ts1
târgoviște  t a2 r g o v i s1 t e
florea  f l o r e a
traian  t r a i a n
vezprem  v e z p r e m
lambu  l a m b u
ciuboată  ts1 u b o a t a1
credeți  k r e d e ts i
câlnic  k a2 l n i k
filmul  f i l m u l
polus  p o l u s
afirmația  a f i r m a ts i a
poliție  p o l i ts i e
cruciulițele  k r u ts1 u l i ts e l e
albinaru  a l b i n a r u
știința  s1 t i i n ts a
procedura  p r o ts1 d u r a
evenimentul  e v e n i m e n t u l
repet  r e p e t
georgeta  dz1 o r dz1 t a
pericolul  p e r i k o l u l
tănăsescu  t a1 n a1 s e s k u
templul  t e m p l u l
investitorii  i n v e s t i t o r i i
baloanele  b a l o a n e l e
mariana  m a r i a n a
gâju  g a2 z1 u
serbia  s e r b i a
franței  f r a n ts e i
zidul  z i d u l
tergiversarea  t e r dz1 v e r s a r e a
mihail  m i h a i l
ciulma  ts1 u l m a
partidul  p a r t i d u l
festivalul  f e s t i v a l u l
dumitrel  d u m i t r e l
personajul  p e r s o n a z1 u l
candidații  k a n d i d a ts i i
mera  m e r a
șfaițer  s1 f a i ts e r
anunțul  a n u n ts u l
bujanovaci  b u z1 a n o v a ts1
presevo  p r e s e v o
timiș  t i m i s1
magistrații  m a dz1 s t r a ts i i
iordache  i o r d a k h e
dubai  d u b a i
dani  d a n i
zapata  z a p a t a
principalul  p r i n ts1 p a l u l
mariei  m a r i e i
lungu  l u n g u
alecu  a l e k u
apreciez  a p r e ts1 e z
gheorghița  g h e o r g h i ts a
dina  d i n a
consolidarea  k o n s o l i d a r e a
ucraina  u k r a i n a
lombardo  l o m b a r d o
radice  r a d i ts1
neamțul  n e a m ts u l
rapidului  r a p i d u l u i
federer  f e d e r e r
grigoraș  g r i g o r a s1
prefectul  p r e f e k t u l
loredana  l o r e d a n a
dunărea  d u n a1 r e a
păcatul  p a1 k a t u l
creștinismul  k r e s1 t i n i s m u l
termenul  t e r m e n u l
intervenția  i n t e r v e n ts i a
soluția  s o l u ts i a
moldovenii  m o l d o v e n i i
scenariul  s ts1 n a r i u l
detest  d e t e s t
milanezii  m i l a n e z i i
kazan  k a z a n
ferari  f e r a r i
prefer  p r e f e r
oliver  o l i v e r
nica  n i k a
francezii  f r a n ts1 z i i
donețk  d o n e ts k
gâtul  g a2 t u l
novosti  n o v o s t i
series  s e r i e s
montreal  m o n t r e a l
oncescu  o n ts1 s k u
qaida  k a i d a
rozalia  r o z a l i a
kone  k o n e
cronjaeger  k r o n z1 a e dz1 r
vaslui  v a s l u i
albița  a l b i ts a
răbdarea  r a1 b d a r e a
irlanda  i r l a n d a
ionică  i o n i k a1
giocondei  dz1 o k o n d e i
bancorex  b a n k o r e k s
învinuiții  a2 n v i n u i ts i i
salcia  s a l ts1 a
clădirea  k l a1 d i r e a
clipul  k l i p u l
giuliano  dz1 u l i a n o
bekor  b e k o r
arhiepiscopia  a r h i e p i s k o p i a
brătulescu  b r a1 t u l e s k u
retailerii  r e t a i l e r i i
călătorii  k a1 l a1 t o r i i
cotidianul  k o t i d i a n u l
the  t h e
daily  d a i l i
telegraph  t e l e g r a p h
politicianul  p o l i t i ts1 a n u l
purtătorul  p u r t a1 t o r u l
premierul  p r e m i e r u l
gordon  g o r d o n
brown  b r o u n
represiunea  r e p r e s i u n e a
mitu  m i t u
mi-ai  m i a i
detestă  d e t e s t a1
preferam  p r e f e r a m
antena  a n t e n a
ciurariu  ts1 u r a r i u
caii  k a i i
barroso  b a r r o s o
coloanele  k o l o a n e l e
neimpozitarea  n e i m p o z i t a r e a
antrenamentele  a n t r e n a m e n t e l e
mircea  m i r ts1 a
așezarea  a s1 e z a r e a
experiența  e k s p e r i e n ts a
bătaia  b a1 t a i a
concluziile  k o n k l u z i i l e
constantinescu  k o n s t a n t i n e s k u
italia  i t a l i a
s-ar  s a r
reuniunile  r e u n i u n i l e
lafarge  l a f a r dz1
agregate  a g r e g a t e
trică  t r i k a1
creștem  k r e s1 t e m
acceptăm  a k ts1 p t a1 m
erori  e r o r i
aglomerația  a g l o m e r a ts i a
new  n e u
oficială  o f i ts1 a l a1
